,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,c
1,196,110.25,15,0,0,1,300,1.3,1,15,0.02,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,2168,1,5.5167,147140,73804,99.009,1.6373E-09,291.02,8.1863E-11,14.551,49.738,7.7794,2.4005,1.5765,7.3443E-15,0.027532,6.4981E-05,9.9518E-10,4.895E-10,2.8436E-09,8.7487E-07,9.8249E-07,1.5765,,1
1,197,110.25,17,0,0,1,300,1.3,1,15,0.02,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,1,13.3,144600,72534,79.784,1.8319E-09,335.58,9.1595E-11,16.779,46.523,7.8258,2.8325,1.5199,6.2245E-05,0.031381,0.024662,1.3965E-08,1.291E-08,9.7193E-08,8.3192E-07,9.9811E-07,1.5199,,1
1,198,110.25,18,0,0,1,300,1.3,1,15,0.02,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,1,25.483,145470,72964,74.239,2.4613E-09,311.36,1.2306E-10,15.568,43.69,7.8767,2.2443,1.1066,0.055349,0.10584,-0.0080647,0.00023587,0.00063457,0.0044729,3.4223E-06,0.00030943,1.1771,,0
2,199,110.25,15,0,0,1,300,1.3,1,15,0.015,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,1,34.833,180810,90678,81.8,1.7281E-09,295.04,8.6403E-11,14.752,47.32,7.2362,2.6923,1.2025,0.018829,0.052568,0.016763,0.00012327,0.00025678,0.0022509,2.3293E-06,0.00017583,1.2164,,0
2,200,110.25,17,0,0,1,300,1.3,1,15,0.015,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,2547,1,7.0333,172960,86754,65.637,1.1335E-09,303.51,5.6674E-11,15.176,48.169,7.3576,1.9763,1.7486,6.6744E-16,0.022117,0.0088325,9.9721E-10,3.7155E-10,2.2948E-09,9.0428E-07,9.9006E-07,1.7486,,1
2,201,110.25,18,0,0,1,300,1.3,1,15,0.015,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,1,51.7,171870,86208,69.209,5.6448E-10,321.62,2.8224E-11,16.081,46.291,7.4095,2.189,1.5768,0.013985,0.049466,0.0065888,0.00011815,0.0001583,0.0020559,1.6754E-06,0.00016058,1.5678,,0
3,203,110.25,15,0,0,1,300,1.3,1,15,0.012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,1,72.333,210410,105510,58.96,1.3824E-09,295.12,6.9118E-11,14.756,46.113,7.1274,3.0862,1.3001,0.0012948,0.034232,0.031592,9.331E-06,1.2613E-05,0.00024536,9.8778E-07,1.8481E-05,1.2993,,0
3,204,110.25,17,0,0,1,300,1.3,1,15,0.012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,3638,1,14.25,204480,102540,66.535,1.5076E-09,297.35,7.538E-11,14.868,44.411,7.1675,2.6838,1.6259,1.1966E-06,0.029947,0.018909,9.9776E-10,5.8297E-10,3.9897E-09,8.7971E-07,9.891E-07,1.6259,,1
3,205,110.25,18,0,0,1,300,1.3,1,15,0.012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,3151,1,11.883,205370,102990,56.055,9.1991E-10,291.6,4.5995E-11,14.58,48.3,7.2096,2.502,1.759,4.0939E-07,0.029818,0.017165,9.9901E-10,4.065E-10,3.2275E-09,9.2548E-07,9.9551E-07,1.759,,1
4,206,110.25,15,0,0,1,300,1.3,1,15,0.01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,3030,1,9.2167,243680,122180,40.959,1.2775E-09,318.41,6.3878E-11,15.921,46.338,6.8383,2.5384,1.5679,6.8947E-15,0.021311,0.0074942,9.9582E-10,3.5706E-10,3.4007E-09,9.436E-07,9.8984E-07,1.5679,,1
