a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,d
1,233,110.25,15,0,0,1,300,1.3,3,15,0.01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1317,1,3.5167,91849,46320,50.629,1.2556E-09,305.5,6.2779E-11,15.275,48.424,7.5069,3.3492,1.8872,2.7354E-06,0.02574,0.076902,3.2783E-10,2.7828E-10,4.7318E-09,6.687E-07,9.481E-07,1.8872,,1,1
1,234,110.25,15,0,0,1,300,1.3,3,15,0.009,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,1,9.9333,96878,48860,52.724,6.56E-10,351.25,3.28E-11,17.563,51.059,7.7391,2.7969,1.9075,1.3862E-05,0.02653,0.071697,1.5376E-08,4.5456E-08,5.2896E-06,8.2676E-07,9.4443E-07,1.9075,,0,0
1,235,110.25,15,0,0,1,300,1.3,3,15,0.007,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1676,1,5.4333,106530,53772,35.442,1.138E-09,311.62,5.6902E-11,15.581,66.319,7.1431,2.6968,1.8836,8.5128E-06,0.024585,0.077202,6.1037E-10,9.9802E-10,8.3834E-09,8.5995E-07,9.5599E-07,1.8836,,1,2
1,236,110.25,15,0,0,1,300,1.3,3,15,0.005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,1,16.033,130010,65664,27.381,5.3565E-10,294.23,2.6782E-11,14.711,60.248,7.6413,2.4338,1.7507,0.00028197,0.026486,0.076425,6.6085E-07,2.3817E-06,0.0004057,9.2908E-07,2.509E-06,1.7509,,0,0
1,237,110.25,15,0,0,1,300,1.3,3,15,0.004,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,3761,1,7.8833,153460,77522,21.934,5.075E-10,303.25,2.5375E-11,15.163,50.813,7.0392,3.1303,1.8033,1.0645E-05,0.025522,0.074765,3.6403E-10,9.9898E-10,9.1093E-09,9.1995E-07,9.7818E-07,1.8033,,1,3
1,238,110.25,15,0,0,1,300,1.3,3,15,0.0035,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,4771,1,9.6667,168080,84922,21.546,4.79E-10,292.59,2.395E-11,14.63,44.133,6.9245,2.6652,1.7653,1.1285E-05,0.026754,0.073551,2.7435E-10,6.9587E-10,9.8813E-09,9.2917E-07,9.6807E-07,1.7653,,1,4
1,239,110.25,15,0,0,1,300,1.3,3,15,0.003,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,4668,1,9.7,185380,93700,16.703,4.77E-10,295.87,2.385E-11,14.794,48.179,7.0118,2.8204,1.7966,1.0371E-05,0.024809,0.076267,2.875E-10,7.2593E-10,9.9556E-09,8.489E-07,9.2352E-07,1.7966,,1,5
2,242,110.25,15,0,0,1,300,1.3,3,15,0.01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,9000,1,40.15,220970,110880,53.315,1.6697E-09,291.47,8.3486E-11,14.574,50.332,7.4001,2.4558,1.9121,0.00010713,0.024977,0.07412,5.3994E-07,4.6786E-07,6.3965E-06,7.8336E-07,7.3886E-07,1.912,,0,0
2,243,110.25,15,0,0,1,300,1.3,3,15,0.009,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,9000,1,47.167,242490,121670,46.14,8.96E-10,280.88,4.48E-11,14.044,48.814,7.3073,2.8309,1.8935,6.0586E-05,0.025597,0.075868,3.9272E-07,3.4489E-07,1.401E-05,7.5594E-07,1.0579E-06,1.8934,,0,0
2,244,110.25,15,0,0,1,300,1.3,3,15,0.007,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,3079,1,15.1,307350,154180,36.063,9.5763E-10,280.85,4.7882E-11,14.043,45.302,6.9218,3.0453,1.8758,1.4012E-14,0.023143,0.079072,9.967E-10,3.3653E-10,3.4911E-09,9.468E-07,9.9055E-07,1.8758,,1,6
